keywords	year	_material	_height	_width	_time	_description	id
sketch,drawing	1890	chalk on paper	850	1340	1890	Contours of a Figure	db57c17d-0cb7-4048-8e95-74d969d8b7a7
Paris,painting,study,Still Life	1886	oil on cardboard	2700	3500	1886	Male Torso	972dc0d8-e05f-443b-90e3-9a4aa437dc9b
Paris,painting,study,Still Life	1887	oil on canvas	2710	4080	1887	Plaster Cast of a Woman&#39;s Torso	91bd6b75-fbbd-4319-8b8b-e7a4f4853ccf
Nuenen,sketch,drawing	1884	pencil on paper	750	1240	1884 - 1885	Head of a Man	814d3d6c-afea-470a-b597-ef5ba49eb98b
Nuenen,sketch,drawing	1884	pencil on paper	750	1240	1884 - 1885	Head of a Woman and an indistinct image	dc256110-8a5e-4990-a627-99209b8ffe37
Arles,painting,Cityscape	1888	oil on canvas	9150	7200	1888	The Yellow House (The Street)	e9388d8a-4140-4cc5-a4cd-f126ad58b012
Auvers-sur-Oise,drawing,Animals	1890	pencil on paper	4370	2690	1890	Horse and Carriage	0b74a654-4a4b-4b6f-8495-87a483ec9a82
Saint-Rémy-de-Provence,painting,Figures,Peasant Life	1889	oil on canvas	2800	4200	1889	Thresher (after Millet)	5c9f429e-a5c0-4a1d-a3e3-10a3bb9637ce
